sample_id,country,last_updated_date,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_gb-defra-index
13291,Singapore,2024/7/24,0.492063492,0.494661922,0.523316062,0.522580645,0.38718663,0.46875,0.450549451,0.213791385,0.742268041,0.323232323,0.560679612,0.558704453,1,1,0.073770492,0.55234657,0.554054054,0.494121715,0.142145767,0.529792911,0.33881415,0.23573201,0.140941512,2
30005,Malaysia,2024/10/18,0.46984127,0.471530249,0.093264249,0.093548387,0.454038997,0.5,0.505494505,0.006134969,0.762886598,0.565656566,0.531553398,0.530364372,1,1,0.180327869,0.115523466,0.114864865,0.583709765,0.135355364,0.310599391,0.319774943,0.393023089,0.774094151,10
4641,South Korea,2024/6/7,0.323809524,0.323843416,0.176165803,0.174193548,0.721448468,0.625,0.626373626,0.012269939,0.453608247,0.747474747,0.36407767,0.363022942,1,1,0.073770492,0.205776173,0.204954955,0.38450899,0.354519956,0.310599391,0.350440126,0.256823821,0.14721826,2
27642,Iran,2024/10/6,0.282539683,0.282918149,0.279792746,0.277419355,0.557103064,0.9375,0.945054945,0.213791385,0.288659794,0.242424242,0.34223301,0.341430499,1,1,0.401639344,0.23465704,0.236486486,0.583709765,0.185151652,0.310599391,0.462298621,0.441377171,0.415178317,4
11838,Cyprus,2024/7/15,0.726984127,0.731316726,0.590673575,0.593548387,0.359331476,0.3125,0.307692308,0.213791385,0.371134021,0.494949495,0.696601942,0.696356275,1,1,0.729508197,0.57400722,0.576576577,0.093015214,0.459483929,0.002540973,0.016608537,0.126550868,0.087874465,1
3778,India,2024/6/3,0.850793651,0.855871886,0.176165803,0.174193548,0.721448468,0.25,0.241758242,0.213791385,0.144329897,0.478247307,0.725728155,0.724696356,0.794932015,0.796708735,0.073770492,0.530685921,0.531531532,0.257520747,0.498415573,0.162622284,0.154459392,0.337468983,0.478174037,3
32724,Qatar,2024/11/1,0.603174603,0.606761566,0.32642487,0.325806452,0.233983287,0.71875,0.725274725,0.213791385,0.474226804,0.242424242,0.555825243,0.55465587,1,1,0.647540984,0.281588448,0.283783784,0.184387967,0.262109552,0.659191971,0.155040691,0.505645161,0.595691869,4
25821,Bangladesh,2024/9/27,0.568253968,0.571174377,0.233160622,0.232258065,0.498607242,0.46875,0.472527473,0.36196319,0.628865979,0.707070707,0.638349515,0.638326586,0.794932015,0.796708735,0.56557377,0.249097473,0.247747748,0.211575035,0.207786329,0.229068733,0.253363229,0.223325062,0.159714693,2
2219,India,2024/5/26,0.914285714,0.919928826,0.082901554,0.080645161,0.888579387,0.125,0.10989011,0.213791385,0.154639175,0.478247307,0.800970874,0.798920378,0.794932015,0.796708735,0.073770492,0.270758123,0.27027027,0.534491701,0.433227705,0.285859484,0.310579638,0.558312655,0.503851641,5
30667,Turkmenistan,2024/10/21,0.177777778,0.177935943,0.259067358,0.25483871,0.200557103,0.75,0.769230769,0.213791385,0.484536082,0.464646465,0.213592233,0.213225371,1,1,0.254098361,0.216606498,0.216216216,0.161998617,0.180624717,0.247871935,0.096661684,0.377109181,0.557689016,3
19920,Singapore,2024/8/27,0.533333333,0.535587189,0.305699482,0.303225806,0.498607242,0.5625,0.571428571,0.213791385,0.649484536,0.747474747,0.618932039,0.616734143,1,1,0.073770492,0.501805054,0.5,0.583709765,0.354519956,0.782619743,0.319774943,0.420595533,0.218544936,3
6121,Israel,2024/6/15,0.60952381,0.613879004,0.30817385,0.306919092,0.844011142,0.4375,0.428571429,0.213791385,0.226804124,0.478247307,0.509708738,0.507422402,1,1,0.647540984,0.359369629,0.35952146,0.07425657,0.446355817,0.047008004,0.019930244,0.272952854,0.507845934,2
14706,Bahrain,2024/8/1,0.692063492,0.695729537,0.487046632,0.487096774,0.961002786,0.125,0.120879121,0.213791385,0.587628866,0.03030303,0.854368932,0.852901484,1,1,0.729508197,0.761732852,0.763513514,0.211358921,0.770031689,0.020327786,0.134529148,0.435483871,0.366904422,3
14966,India,2024/8/2,0.650793651,0.65480427,0.29015544,0.290322581,0.362116992,0.09375,0.076923077,0.213791385,0.515463918,0.262626263,0.70631068,0.704453441,1,1,0.647540984,0.296028881,0.295045045,0.60373444,0.229515618,0.377334519,0.259093174,0.338709677,0.19743224,3
19256,India,2024/8/24,0.634920635,0.638790036,0.176165803,0.174193548,0.080779944,0.28125,0.274725275,0.213791385,0.701030928,0.747474747,0.63592233,0.63562753,0.794932015,0.796708735,0.647540984,0.285198556,0.283783784,0.583709765,0.188773201,0.8436031,0.925095499,0.621588089,0.350927247,6
10448,South Korea,2024/7/7,0.352380952,0.352313167,0.243523316,0.24516129,0.554317549,0.40625,0.406593407,0.128834356,1,1,0.417475728,0.417004049,0.794932015,0.796708735,0.073770492,0.299638989,0.297297297,0.27480982,0.184246265,0.529792911,0.212589271,0.420595533,0.209985735,3
